StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q_RecaptchaScore,Participant_ID,Scenario,SecondaryTask,AlertEffectiveness,Understandability,Comprehension,Timing,SA_takeover,SA_traffic,SA_overall,SA_HiddenObj,Trust,Satisfaction_Overall,Confidence,Annoyance,Feedback,Perception1_urgency,Perception1_annoy,Perception2_urgency,Perception2_annoy,CompareEffective,CutomizableAlert,ComparedPreferAlert,PreferenceReason
2024-03-09 10:41:31,2024-03-09 10:43:58,0,129.97.124.18,100,147,1,2024-03-09 10:43:58,R_3Yti8KF2jFDnDr3,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,3678,2,4,4,3,3,5,2,2,3,"1,3,4",,2,2,3,"Had to brake due to the acc and was confused when the restraints pulled on me. Made me feep a little dizzy because of the brakint feedback, so probably less aware due to this",,,,,,,,
2024-03-09 10:52:40,2024-03-09 10:54:57,0,129.97.124.18,100,136,1,2024-03-09 10:54:57,R_1Nk7F9zW31XhlNg,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,3678,3,4,4,4,2,5,4,2,3,,,4,3,2,The sound was more useful than thr dash indicator. Still dizzy but the alert helpede see the merging truck,,,,,,,,
2024-03-09 11:05:26,2024-03-09 11:10:45,0,129.97.124.18,100,318,1,2024-03-09 11:10:45,R_5DOiDi49FvDSW2m,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,3678,4,4,3,4,2,5,4,1,2,,,4,3,2,"Still dizzy, appropriately timed so i saw the police car, the dash message contained some good information",2,2,2,1,2,4,2,"I dont like to be froghtened while driving, calm is always better"
2024-03-09 13:28:14,2024-03-09 13:31:16,0,129.97.124.18,100,182,1,2024-03-09 13:31:17,R_3MKJOCRIRtgUepl,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,4385,1,0,2,2,4,5,2,4,2,"1,2,4",,2,4,1,Stay vigilant was unclear what it meant,,,,,,,,
2024-03-09 13:40:53,2024-03-09 13:42:47,0,129.97.124.18,100,114,1,2024-03-09 13:42:48,R_2Lhd81tOPCDxdE8,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,4385,2,0,,,,,,4,,5,,,,,,,,,,,,,
2024-03-09 13:50:40,2024-03-09 13:52:43,0,129.97.124.18,100,122,1,2024-03-09 13:52:44,R_5V4k8JvNGK6IcYX,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,4385,3,3,3,4,4,5,4,4,3,"1,4",,4,4,1,,,,,,,,,
2024-03-09 14:03:41,2024-03-09 14:09:45,0,129.97.124.18,100,363,1,2024-03-09 14:09:45,R_1F4h6E9CG9za5wn,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,4385,4,2,3,4,2,5,4,4,2,1,,4,3,1,,2,2,1,2,1,3,1,
2024-03-09 15:37:43,2024-03-09 15:39:42,0,129.97.124.18,100,119,1,2024-03-09 15:39:43,R_1FrsIdeoLwkp2lH,,,,,43.474,-80.554,anonymous,EN,0.800000011920929,8093,1,0,4,5,1,3,5,3,3,,,5,4,1,,,,,,,,,
2024-03-09 15:47:27,2024-03-09 15:48:52,0,129.97.124.18,100,84,1,2024-03-09 15:48:52,R_7rH8OuRw1x8V1Jv,,,,,43.474,-80.554,anonymous,EN,0.699999988079071,8093,2,1,2,4,4,3,2,4,3,,,4,4,1,,,,,,,,,
2024-03-09 15:56:23,2024-03-09 15:57:45,0,129.97.124.18,100,81,1,2024-03-09 15:57:45,R_14IMDHYmwCJGu9r,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,8093,3,2,4,4,2,5,4,3,4,4,,4,4,1,,,,,,,,,
2024-03-09 16:09:52,2024-03-09 16:16:43,0,129.97.124.18,100,410,1,2024-03-09 16:16:43,R_5KVhJWTW1dkVq5X,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,8093,4,2,3,4,2,5,4,4,2,4,,4,4,1,the moose outside the highway should have triggered some sort of warning,4,1,3,1,1,5,1,grabs attention more
2024-03-09 17:37:37,2024-03-09 17:41:17,0,129.97.124.18,100,219,1,2024-03-09 17:41:18,R_1ruzdPpL62cpXF4,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,1982,1,5,5,5,1,3,2,3,4,,,4,3,2,The alert was kind of distracting when I thought I couldve handled the situation better myself.,,,,,,,,
2024-03-09 17:49:17,2024-03-09 17:52:14,0,129.97.124.18,100,177,1,2024-03-09 17:52:14,R_7AQprTssT4guX2g,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,1982,2,3,5,5,1,5,5,4,2,"1,3,4",,4,4,1,,,,,,,,,
2024-03-09 18:00:46,2024-03-09 18:02:40,0,129.97.124.18,100,114,1,2024-03-09 18:02:40,R_1VkEDs6P802xxGV,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,1982,3,5,5,5,2,5,4,4,3,5,,4,4,1,,,,,,,,,
2024-03-09 18:15:03,2024-03-09 18:22:15,0,129.97.124.18,100,431,1,2024-03-09 18:22:15,R_3xSoU4pfXhxEQLO,,,,,43.474,-80.554,anonymous,EN,0.699999988079071,1982,4,5,5,4,2,3,3,5,2,"1,2,4",,4,5,1,,4,1,1,1,1,5,1,The first alert sounded more urgent and important because of the repetitive nature. But I would like to customize the settings for different alert situations.
2024-03-09 19:33:41,2024-03-09 19:35:49,0,129.97.124.18,100,128,1,2024-03-09 19:35:50,R_39sHxPFfcTsisqY,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,4578,1,0,3,5,2,3,4,2,4,1,,4,3,1,,,,,,,,,
2024-03-09 19:43:50,2024-03-09 19:45:21,0,129.97.124.18,100,91,1,2024-03-09 19:45:22,R_7qO31tbA6Vc3kxv,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,4578,2,0,3,4,2,5,4,3,3,5,,4,3,1,,,,,,,,,
2024-03-09 20:01:20,2024-03-09 20:03:00,0,129.97.124.18,100,100,1,2024-03-09 20:03:00,R_3rfiZr5X5xZWUsV,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,4578,3,4,5,4,5,5,2,1,2,"3,4",,4,2,1,,,,,,,,,
2024-03-09 20:13:49,2024-03-09 20:20:49,0,129.97.124.18,100,419,1,2024-03-09 20:20:49,R_5j6SlvHUOF274tv,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,4578,4,5,5,4,2,5,4,1,2,2,,4,2,1,,5,1,5,1,1,5,1,
2024-03-10 12:35:45,2024-03-10 12:38:53,0,129.97.124.27,100,188,1,2024-03-10 12:38:54,R_5oRflq5UDOSVygm,,,,,43.474,-80.554,anonymous,EN,1,5019,1,0,,,,,,3,,"2,4",,,,,,,,,,,,,
2024-03-10 12:48:53,2024-03-10 12:50:47,0,129.97.124.27,100,114,1,2024-03-10 12:50:48,R_2L0VgYlL354em6V,,,,,43.474,-80.554,anonymous,EN,1,5019,2,3,4,4,1,1,4,2,2,5,,4,3,1,"The alert system was effective, it was just too late.",,,,,,,,
2024-03-10 12:57:50,2024-03-10 12:59:39,0,129.97.124.27,100,108,1,2024-03-10 12:59:39,R_2zpSrzelkb7VEIr,,,,,43.474,-80.554,anonymous,EN,1,5019,3,2,5,5,3,5,5,3,4,"3,4",,4,4,1,,,,,,,,,
2024-03-10 13:05:39,2024-03-10 13:14:28,0,129.97.124.27,100,529,1,2024-03-10 13:14:29,R_2D0u6zjDZfbP3gS,,,,,43.474,-80.554,anonymous,EN,1,5019,4,1,5,4,1,5,5,2,4,2,,5,5,1,,5,2,5,4,3,3,1,The first is attention capturing but less annoying
2024-03-10 15:43:17,2024-03-10 15:45:17,0,129.97.124.27,100,119,1,2024-03-10 15:45:18,R_2pb4OcuLxJbM74t,,,,,43.474,-80.554,anonymous,EN,1,8564,1,3,4,5,3,3,4,3,3,"2,3",,4,3,2,,,,,,,,,
2024-03-10 15:54:59,2024-03-10 15:56:28,0,129.97.124.27,100,89,1,2024-03-10 15:56:28,R_3M6vVeouZwx49Vh,,,,,43.474,-80.554,anonymous,EN,1,8564,2,2,5,5,2,5,5,4,4,3,,5,4,1,,,,,,,,,
2024-03-10 16:04:04,2024-03-10 16:06:54,0,129.97.124.27,100,169,1,2024-03-10 16:06:54,R_22lG8udnudZasUO,,,,,43.474,-80.554,anonymous,EN,1,8564,3,4,4,5,2,3,2,4,3,1,,2,4,2,Instead of th system prompting take control and driver pressing break can it grant control automatically after the alert,,,,,,,,
2024-03-10 16:17:39,2024-03-10 16:23:41,0,129.97.124.27,100,361,1,2024-03-10 16:23:41,R_3BlZYxI60R2BcjO,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,8564,4,3,4,4,2,3,2,4,3,4,,1,4,1,The alert to take control was too late,3,1,1,2,1,4,1,Alert sound was more clear and comfortable to hear for the first alert. Second alert was a little annoying.
2024-03-10 18:07:28,2024-03-10 18:09:45,0,129.97.124.27,100,137,1,2024-03-10 18:09:46,R_2PenWgXSAoukh9L,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,1843,1,0,3,2,4,1,3,3,2,1,,2,2,2,"The alert was a little late ",,,,,,,,
2024-03-10 18:17:46,2024-03-10 18:19:11,0,129.97.124.27,100,84,1,2024-03-10 18:19:12,R_2KqcUdzCjVKL9ry,,,,,43.474,-80.554,anonymous,EN,0.8999999761581421,1843,2,0,3,2,4,3,3,3,2,"1,3,4",,2,3,2,,,,,,,,,
