FrontCollision,Collision,ObservedHiddenObject,SA_HiddenObj-1 - Split 1,SA_HiddenObj-1 - Split 2,SA_HiddenObj-1 - Split 3,participant_ID,scenario,group,Sim_freq,Appointment Date,scenario_order,design,secondaryTask,test_start_datetime,participant_ID-1,design-1,scenario-1,scenario_order-1,test_start_date_time,test_start_datetime-1,triggerID,triggerBeginSTEP,triggerBeginDatetime,triggerLastSTEP,triggerLastDatetime,participant_ID-2,group-1,design-2,scenario-3,Max_Brake_Acceleration,Max_lateral_Acceleration_Neg,Max_lateral_Acceleration_Pos,Min_front_Distance,Error_from_LaneCenter,AP_Off_Step,Takeover_Before_Alert,AEBMinDistance,AEBMinTimeThreshold,collisions,Participant_ID-1,Scenario-1,SecondaryTask-1,AlertEffectiveness-1,Understandability-1,Comprehension-1,Timing-1,SA_takeover-1,SA_traffic-1,SA_overall-1,SA_HiddenObj-1,Trust-1,Satisfaction_Overall-1,Confidence-1,Annoyance-1,Feedback-1,Perception1_urgency-1,Perception1_annoy-1,Perception2_urgency-1,Perception2_annoy-1,CompareEffective-1,CutomizableAlert-1,ComparedPreferAlert-1,PreferenceReason-1,Participant_ID,Scenario,SecondaryTask,AlertEffectiveness,Understandability,Comprehension,Timing,SA_takeover,SA_traffic,SA_overall,SA_HiddenObj,Trust,Satisfaction_Overall,Confidence,Annoyance,Feedback,Perception1_urgency,Perception1_annoy,Perception2_urgency,Perception2_annoy,CompareEffective,CutomizableAlert,ComparedPreferAlert,PreferenceReason,scenario_no,secondaryTask2,expGroup,Groups,CorrectHiddenObject,scenario_no-1,participant_ID-3,scenario-2,collisionTimeAfterTakeover(s)
,,False,A Moose,,,7201,B2,Single - Soft,1000,2024-02-29 12:00:00 p.m.,3rd Scenario,Y,H,2024-02-29 6:07:16 p.m.,7201,Y,B2,3rd Scenario,1709230036,2024-02-29 6:07:16 p.m.,2,433373,,438784,,7201,Single - Soft,Y,B2,-0.57483882,-0.01945376,-0.00301289,1.4883581,-1.18221774,437789,False,0.44249082,1.0045772,0,7201,3rd Scenario,Extremely Demanding,,Strongly agree,Somewhat agree,Slightly late,Somewhat agree,Extremely aware,Very much,A Moose,,Somewhat satisfied,Extremely confident,Not annoying at all,,,,,,,,,,7201,3,5,,5,2,3,4,5,4,4,,4,5,1,,,,,,,,,,2,H,Single,Mild,A Fire Truck,2,,,
,,True,An Ambulance,,,7201,B4,Single - Soft,1000,2024-02-29 12:00:00 p.m.,4th Scenario,Y,H,2024-02-29 6:17:32 p.m.,7201,Y,B4,4th Scenario,1709230652,2024-02-29 6:17:32 p.m.,2,355953,,365952,,7201,Single - Soft,Y,B4,-0.65786991,,,140.9640534,-1.66343957,358669,False,-2.73086739,2.22191873,0,7201,4th Scenario,Demanding,,Strongly agree,Neither agree nor disagree,Too late,Somewhat disagree,Very aware,Completely,An Ambulance,,Strongly satisfied,Extremely confident,Not annoying at all,,,,,,,,,,7201,4,4,,5,3,1,2,4,5,2,,5,5,1,,,,,,,,,,4,H,Single,Mild,An Ambulance,4,,,
,,True,A Cyclist,,,2156,A3,Dynamic,1000,2024-02-29 5:30:00 p.m.,3rd Scenario,X,H,2024-02-29 11:26:35 p.m.,2156,X,A3,3rd Scenario,1709249195,2024-02-29 11:26:35 p.m.,3,497273,,507272,,2156,Dynamic,X,A3,,-0.04589096,-0.01265463,151,-1.21543156,500034,False,-4.97112417,10,0,2156,3rd Scenario,Demanding,,Neither agree nor disagree,Somewhat disagree,Slightly late,Neither agree nor disagree,Very aware,Moderately,A Cyclist,,Neither satisfied nor disatisfied,Moderately confident,Not annoying at all,"I personally am a kind of person who would be more aware of what could happen every time I see a big/high truck/vehicle. So, I was guessing something might happen when I saw the vehicle far away and was ready to take control before the alert came up. However, the way the alert sounds was not thay annoying and quite helpful in this case though.",,,,,,,,,2156,3,4,,3,4,3,3,4,3,5,,3,3,1,"I personally am a kind of person who would be more aware of what could happen every time I see a big/high truck/vehicle. So, I was guessing something might happen when I saw the vehicle far away and was ready to take control before the alert came up. However, the way the alert sounds was not thay annoying and quite helpful in this case though.",,,,,,,,,3,H,Dynamic,Dynamic,A Cyclist,3,,,
,,False,A Fire Truck,,,2156,A4,Dynamic,1000,2024-02-29 5:30:00 p.m.,4th Scenario,X,H,2024-02-29 11:39:38 p.m.,2156,X,A4,4th Scenario,1709249978,2024-02-29 11:39:38 p.m.,3,471373,,481372,,2156,Dynamic,X,A4,-0.53343989,0.03889979,0.04262169,35.99492657,-0.46094374,475675,False,35.96648932,1.10923346,0,2156,4th Scenario,Demanding,,Somewhat agree,Somewhat agree,Just right,Somewhat agree,Very aware,Very much,A Fire Truck,,Neither satisfied nor disatisfied,Moderately confident,Not annoying at all,"The text showing up when alerting could be better. I dont remember exactly but it kinda said something generic. I believe the detection system could have detected that a car was pulling off from the right, so the text could be improved to something like ""attention on the front right"" or ""a car pulling off from the right""",,,,,,,,,2156,4,4,,4,2,5,4,4,4,3,,3,3,1,"The text showing up when alerting could be better. I dont remember exactly but it kinda said something generic. I believe the detection system could have detected that a car was pulling off from the right, so the text could be improved to something like ""attention on the front right"" or ""a car pulling off from the right""",,,,,,,,,4,H,Dynamic,Dynamic,An Ambulance,4,,,
,,False,An Ambulance,A Moose,,1423,A2,Dynamic,1000,2024-03-01 4:00:00 p.m.,3rd Scenario,X,H,2024-03-01 9:58:00 p.m.,1423,X,A2,3rd Scenario,1709330280,2024-03-01 9:58:00 p.m.,3,374313,,381102,,1423,Dynamic,X,A2,-0.37004734,-0.16225404,-0.05308861,1.47652163,-1.5370524,372997,True,1.18125582,2.61482287,0,1423,3rd Scenario,Demanding,,Somewhat agree,Neither agree nor disagree,Just right,Somewhat disagree,Moderately aware,Slightly,"An Ambulance,A Moose",,Somewhat satisfied,Moderately confident,Not annoying at all,The alert system was not helping this time. Maybe I took actiob earlier so I was more vigilant myself beforehand.,,,,,,,,,1423,3,4,,4,3,5,2,3,2,"2,4",,4,3,1,The alert system was not helping this time. Maybe I took actiob earlier so I was more vigilant myself beforehand.,,,,,,,,,2,H,Dynamic,Dynamic,A Fire Truck,2,,,
,,False,Car Crashes,,,1423,A4,Dynamic,1000,2024-03-01 4:00:00 p.m.,4th Scenario,X,H,2024-03-01 10:07:38 p.m.,1423,X,A4,4th Scenario,1709330858,2024-03-01 10:07:38 p.m.,3,374513,,381673,,1423,Dynamic,X,A4,-1.15187002,0.01864573,0.03350944,31.56649791,-1.38594341,379924,False,-2.15636176,10,0,1423,4th Scenario,Easy,,Somewhat agree,Somewhat agree,Slightly late,Somewhat agree,Somewhat aware,Very much,Car Crashes,,Somewhat disatisfied,Very confident,Not annoying at all,This time the alerts were more understanable for me and easier and i could take action better. Again the title of allerts could be different. Something like a block ahead.,,,,,,,,,1423,4,2,,4,2,3,4,2,4,1,,2,4,1,This time the alerts were more understanable for me and easier and i could take action better. Again the title of allerts could be different. Something like a block ahead.,,,,,,,,,4,H,Dynamic,Dynamic,An Ambulance,4,,,
,,False,Car Crashes,,,3984,B4,Dynamic,1000,2024-03-02 10:00:00 a.m.,1st Scenario,Y,0,2024-03-02 3:48:55 p.m.,3984,Y,B4,1st Scenario,1709394535,2024-03-02 3:48:55 p.m.,2,302963,,312962,,3984,Dynamic,Y,B4,,-0.01484912,-0.00864254,62.61946744,-0.51911332,,False,-3.06730831,10,0,3984,1st Scenario,Moderate,,Strongly agree,Strongly agree,Just right,Strongly agree,Moderately aware,Completely,Car Crashes,,Strongly satisfied,Moderately confident,Slightly annoying,"I would have preferred the alert came a little earlier. The timing was sufticient for a takeover but it still rattled me a bit, I think if I was alerted we earlier I would have had more time to readjust and take assume control.",,,,,,,,,3984,1,3,,5,1,5,5,3,5,1,,5,3,2,"I would have preferred the alert came a little earlier. The timing was sufticient for a takeover but it still rattled me a bit, I think if I was alerted we earlier I would have had more time to readjust and take assume control.",,,,,,,,,4,0,Dynamic,Dynamic,An Ambulance,4,,,
,,False,A Moose,,,3984,B2,Dynamic,1000,2024-03-02 10:00:00 a.m.,2nd Scenario,Y,0,2024-03-02 4:02:47 p.m.,3984,Y,B2,2nd Scenario,1709395367,2024-03-02 4:02:47 p.m.,2,447443,,457442,,3984,Dynamic,Y,B2,-0.43063841,-0.26035857,-0.08680058,45.5312527,-0.87626804,451354,False,-2.76808023,1.73077131,0,3984,2nd Scenario,Easy,,Strongly agree,Strongly agree,Slightly early,Strongly agree,Extremely aware,Completely,A Moose,,Strongly satisfied,Extremely confident,Not annoying at all,Satisfied,,,,,,,,,3984,2,2,,5,1,4,5,5,5,4,,5,5,1,Satisfied,,,,,,,,,2,0,Dynamic,Dynamic,A Fire Truck,2,,,
,,False,A Fire Truck,,,3984,B3,Dynamic,1000,2024-03-02 10:00:00 a.m.,3rd Scenario,X,H,2024-03-02 4:14:03 p.m.,3984,X,B3,3rd Scenario,1709396043,2024-03-02 4:14:03 p.m.,3,494693,,520212,,3984,Dynamic,X,B3,-0.3613664,-0.19850937,0.31081599,34.65401804,-1.7571665,497650,False,1.65127611,10,0,3984,3rd Scenario,Demanding,,Somewhat agree,Somewhat agree,Just right,Somewhat agree,Very aware,Very much,A Fire Truck,,Somewhat satisfied,Moderately confident,Not annoying at all,"Much more satisfied but the alert could be more descriptive. Maybe accompanied by a voice that says ""take over"".",,,,,,,,,3984,3,4,,4,2,5,4,4,4,3,,4,3,1,"Much more satisfied but the alert could be more descriptive. Maybe accompanied by a voice that says ""take over"".",,,,,,,,,3,H,Dynamic,Dynamic,A Cyclist,3,,,
,,False,A Fire Truck,,,3984,B1,Dynamic,1000,2024-03-02 10:00:00 a.m.,4th Scenario,X,H,2024-03-02 4:26:56 p.m.,3984,X,B1,4th Scenario,1709396816,2024-03-02 4:26:56 p.m.,3,447893,,448392,,3984,Dynamic,X,B1,,,,107.73519059,-1.35417184,448949,False,2.43671807,10,0,3984,4th Scenario,Easy,,Strongly agree,Strongly agree,Just right,Strongly agree,Extremely aware,Completely,A Fire Truck,,Strongly satisfied,Extremely confident,Not annoying at all,Great. Least demanding of all.,,,,,,,,,3984,4,2,,5,1,5,5,5,5,3,,5,5,1,Great. Least demanding of all.,,,,,,,,,1,H,Dynamic,Dynamic,A Moose,1,,,
,,False,,,,3572,B4,Dynamic,1000,2024-03-04 11:30:00 a.m.,1st Scenario,Y,0,2024-03-04 5:03:32 p.m.,3572,Y,B4,1st Scenario,1709571812,2024-03-04 5:03:32 p.m.,2,383623,,390701,,3572,Dynamic,Y,B4,-0.59026915,-0.15283517,-0.04911113,25.00253227,-1.84806238,388253,False,-1.20164037,10,0,3572,1st Scenario,Moderate,,Somewhat agree,Somewhat agree,Slightly late,Somewhat agree,Moderately aware,Moderately,,,Somewhat satisfied,Somewhat confident,Not annoying at all,,,,,,,,,,3572,1,3,,4,2,3,4,3,3,,,4,2,1,,,,,,,,,,4,0,Dynamic,Dynamic,An Ambulance,4,,,
,,False,A Moose,,,3572,B2,Dynamic,1000,2024-03-04 11:30:00 a.m.,2nd Scenario,Y,0,2024-03-04 4:51:46 p.m.,3572,Y,B2,2nd Scenario,1709571106,2024-03-04 4:51:46 p.m.,2,319803,,329802,,3572,Dynamic,Y,B2,-0.77442576,-0.18722867,-0.03532485,29.25626242,-2.86918169,326649,False,-3.81466854,1.42437357,0,3572,2nd Scenario,I did not complete the secondary task,,Somewhat agree,Somewhat agree,Slightly late,Somewhat agree,Very aware,Very much,A Moose,,Somewhat satisfied,Moderately confident,Not annoying at all,,,,,,,,,,3572,2,0,,4,2,3,4,4,4,4,,4,3,1,,,,,,,,,,2,0,Dynamic,Dynamic,A Fire Truck,2,,,
,,False,,,,3572,B3,Dynamic,1000,2024-03-04 11:30:00 a.m.,3rd Scenario,X,H,2024-03-04 5:12:58 p.m.,3572,X,B3,3rd Scenario,1709572378,2024-03-04 5:12:58 p.m.,3,478392,,484871,,3572,Dynamic,X,B3,-0.36035575,-0.01996705,-0.0181695,140.44944165,-1.03085939,483386,False,-0.76226246,10,0,3572,3rd Scenario,Moderate,,Somewhat agree,Strongly agree,Slightly late,Somewhat agree,Somewhat aware,Very much,,,Somewhat satisfied,Moderately confident,Not annoying at all,,,,,,,,,,3572,3,3,,4,1,3,4,2,4,,,4,3,1,,,,,,,,,,3,H,Dynamic,Dynamic,A Cyclist,3,,,
,,False,,,,3572,B1,Dynamic,1000,2024-03-04 11:30:00 a.m.,4th Scenario,X,H,2024-03-04 5:25:48 p.m.,3572,X,B1,4th Scenario,1709573148,2024-03-04 5:25:48 p.m.,3,410783,,420781,,3572,Dynamic,X,B1,,0.02761528,0.05741645,17.5734256,-1.30626758,416304,False,0.09394443,10,0,3572,4th Scenario,Moderate,,Somewhat agree,Somewhat agree,Slightly late,Somewhat agree,Somewhat aware,Very much,,,Somewhat satisfied,Moderately confident,Not annoying at all,,,,,,,,,,3572,4,3,,4,2,3,4,2,4,,,4,3,1,,,,,,,,,,1,H,Dynamic,Dynamic,A Moose,1,,,
,,False,Car Crashes,,,4897,A1,Dynamic,1000,2024-03-04 1:00:00 p.m.,1st Scenario,Y,0,2024-03-04 7:26:43 p.m.,4897,Y,A1,1st Scenario,1709580403,2024-03-04 7:26:43 p.m.,2,619083,,629082,,4897,Dynamic,Y,A1,,-0.09430932,0.00044492,45.46257183,-1.44394334,613195,True,-2.73885882,10,0,4897,1st Scenario,I did not complete the secondary task,,Somewhat agree,Somewhat disagree,Slightly late,Somewhat disagree,Moderately aware,Slightly,Car Crashes,,Somewhat disatisfied,Very confident,Not annoying at all,,,,,,,,,,4897,1,0,,4,4,3,2,3,2,1,,2,4,1,,,,,,,,,,1,0,Dynamic,Dynamic,A Moose,1,,,
1,1,False,Car Crashes,A Moose,,4897,A2,Dynamic,1000,2024-03-04 1:00:00 p.m.,2nd Scenario,Y,0,2024-03-04 7:40:25 p.m.,4897,Y,A2,2nd Scenario,1709581225,2024-03-04 7:40:25 p.m.,2,402883,,408687,,4897,Dynamic,Y,A2,-0.30568162,-0.04307825,-0.04116044,-1.11136978,-0.88506284,408326,False,-1.98713243,10,0,4897,2nd Scenario,I did not complete the secondary task,,Strongly disagree,Somewhat agree,Too late,Strongly disagree,Moderately aware,Moderately,"Car Crashes,A Moose",,Strongly disatisfied,Moderately confident,Not annoying at all,,,,,,,,,,4897,2,0,,1,2,1,1,3,3,"1,4",,1,3,1,,,,,,,,,,2,0,Dynamic,Dynamic,A Fire Truck,2,4897,A2,5.923
,,False,,,,4897,A3,Dynamic,1000,2024-03-04 1:00:00 p.m.,3rd Scenario,X,H,2024-03-04 7:50:23 p.m.,4897,X,A3,3rd Scenario,1709581823,2024-03-04 7:50:23 p.m.,3,461783,,471782,,4897,Dynamic,X,A3,-0.4572736,-0.17954779,0.10145498,27.99959627,-0.68585561,462967,False,-1.30096251,10,0,4897,3rd Scenario,Demanding,,Somewhat agree,Somewhat agree,Just right,Somewhat agree,Very aware,Moderately,,,Somewhat satisfied,Moderately confident,Not annoying at all,,,,,,,,,,4897,3,4,,4,2,5,4,4,3,,,4,3,1,,,,,,,,,,3,H,Dynamic,Dynamic,A Cyclist,3,,,
,,False,Car Crashes,,,4897,A4,Dynamic,1000,2024-03-04 1:00:00 p.m.,4th Scenario,X,H,2024-03-04 8:01:06 p.m.,4897,X,A4,4th Scenario,1709582466,2024-03-04 8:01:06 p.m.,3,318083,,324627,,4897,Dynamic,X,A4,-0.36319417,0.02642717,0.06512965,37.69089396,-1.08702457,322547,False,-1.55700922,1.01194508,0,4897,4th Scenario,Demanding,,Strongly agree,Strongly agree,Just right,Strongly agree,Extremely aware,Completely,Car Crashes,,Strongly satisfied,Extremely confident,Not annoying at all,,,,,,,,,,4897,4,4,,5,1,5,5,5,5,1,,5,5,1,,,,,,,,,,4,H,Dynamic,Dynamic,An Ambulance,4,,,
,,True,A Moose,,,7162,B1,Single - Strong,1000,2024-03-08 4:30:00 p.m.,1st Scenario,X,0,2024-03-08 10:14:55 p.m.,7162,X,B1,1st Scenario,1709936095,2024-03-08 10:14:55 p.m.,3,368233,,369807,,7162,Single - Strong,X,B1,-0.42848376,0.01098959,0.04035054,22.75545727,-1.59730119,367176,True,1.08010936,10,0,7162,1st Scenario,I did not complete the secondary task,3,Somewhat agree,Somewhat agree,Just right,Strongly agree,Very aware,Moderately,A Moose,,Somewhat satisfied,Extremely confident,Not annoying at all,,,,,,,,,,7162,1,0,3,4,2,5,5,4,3,4,,4,5,1,,,,,,,,,,1,0,Single,Strong,A Moose,1,,,
,,True,Car Crashes,A Fire Truck,A Moose,7162,B2,Single - Strong,1000,2024-03-08 4:30:00 p.m.,2nd Scenario,X,0,2024-03-08 10:25:23 p.m.,7162,X,B2,2nd Scenario,1709936723,2024-03-08 10:25:23 p.m.,3,375113,,385112,,7162,Single - Strong,X,B2,-0.38560397,,,16.0588302,-1.54270373,378418,False,6.79422975,1.00000576,0,7162,2nd Scenario,Extremely Easy,4,Somewhat agree,Strongly agree,Slightly early,Somewhat agree,Extremely aware,Very much,"Car Crashes,A Fire Truck,A Moose",,Somewhat satisfied,Extremely confident,Not annoying at all,,,,,,,,,,7162,2,1,4,4,1,4,4,5,4,"1,3,4",,4,5,1,,,,,,,,,,2,0,Single,Strong,A Fire Truck,2,,,
,,True,A Cyclist,,,7162,B3,Single - Strong,1000,2024-03-08 4:30:00 p.m.,3rd Scenario,X,H,2024-03-08 10:37:24 p.m.,7162,X,B3,3rd Scenario,1709937444,2024-03-08 10:37:24 p.m.,3,387523,,397522,,7162,Single - Strong,X,B3,-0.52009807,,,151,-1.47499714,389306,False,11.85114193,10,0,7162,3rd Scenario,Moderate,5,Strongly agree,Strongly agree,Just right,Strongly agree,Very aware,Moderately,A Cyclist,,Strongly satisfied,Extremely confident,Not annoying at all,,,,,,,,,,7162,3,3,5,5,1,5,5,4,3,5,,5,5,1,,,,,,,,,,3,H,Single,Strong,A Cyclist,3,,,
,,False,,,,7162,B4,Single - Strong,1000,2024-03-08 4:30:00 p.m.,4th Scenario,X,H,2024-03-08 10:46:28 p.m.,7162,X,B4,4th Scenario,1709937988,2024-03-08 10:46:28 p.m.,,,,,,,,,,,,,,,,,,,,7162,4th Scenario,Demanding,3,Neither agree nor disagree,Strongly disagree,Too late,Strongly disagree,Extremely aware,Not at all,,,Neither satisfied nor disatisfied,Extremely confident,Not annoying at all,,2,1,1,3,Definitely the first alert,3,The first alert,,7162,4,4,3,3,5,1,1,5,1,,,3,5,1,,2,1,1,3,1,3,1,,4,H,Single,Strong,An Ambulance,4,,,
